省级众创空间备案,四川省科学技术厅,四川,申报时间：2019.06.03 - 2019.07.05
省级科技企业孵化器备案,四川省科学技术厅,四川,申报时间：2019.06.03 - 2019.07.05
国家中小企业公共服务示范平台,中华人民共和国工业和信息化部中小企业局,中华人民共和国,申报时间：2019.06.03 - 2019.07.15
特色产业基地认定,四川省经济和信息化厅,四川,申报时间：2019.05.24 - 2019.06.14
新型工业化产业示范基地认定,四川省经济和信息化厅,四川,申报时间：2019.05.24 - 2019.06.14
国家级工业设计中心认定（企业）,中华人民共和国工业和信息化部,中华人民共和国,申报时间：2019.05.24 - 2019.07.10
国家级工业设计中心认定（工业设计企业）,中华人民共和国工业和信息化部,中华人民共和国,申报时间：2019.05.24 - 2019.07.10
移动互联网示范应用项目,成都市经济和信息化局,成都,申报时间：2019.05.20 - 2019.06.07
国家高新技术企业认定,四川省科学技术厅,四川,申报时间：2019.05.20 - 2019.09.12
天府万人计划领军人才-天府金融菁英,四川省地方金融监督管理局,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划领军人才-天府社科菁英,四川省社会科学界联合会,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划领军人才-天府金融英才,四川省地方金融监督管理局,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划领军人才-天府名医,四川省卫生健康委员会,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划领军人才-天府名师,四川省教育厅,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划杰出人才-天府文化领军人才,四川省委宣传部,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划领军人才-天府农业大师,四川省农业农村厅,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划杰出人才-天府杰出科学家,四川省科学技术厅,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划领军人才-天府工匠,四川省人力资源和社会保障厅,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划领军人才-天府创新领军人才,四川省科学技术厅,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划领军人才-天府创业领军人才,四川省科学技术厅,四川,申报时间：2019.05.20 - 2019.06.20
天府万人计划领军人才-天府科技菁英,四川省科学技术厅,四川,申报时间：2019.05.20 - 2019.06.20
成都市服务业企业100强认定,成都市经济和信息化局,成都,申报时间：2019.05.16 - 2019.06.10
成都市制造业企业100强认定,成都市经济和信息化局,成都,申报时间：2019.05.16 - 2019.06.10
成都市企业100强认定,成都市经济和信息化局,成都,申报时间：2019.05.16 - 2019.06.10
制造业创新示范中心认定,成都市经济和信息化局,成都,申报时间：2019.05.15 - 2019.05.31
新材料首批次市场化应用补助项目,成都市经济和信息化局,成都,申报时间：2019.05.13 - 2019.06.01
国家技术创新示范企业,中华人民共和国工业和信息化部,中华人民共和国,申报时间：2019.05.13 - 2019.06.03
2019年首台（套）重大技术装备保险补偿项目,中华人民共和国工业和信息化部,中华人民共和国,申报时间：2019.05.13 - 2019.05.20
大企业大集团动态调整项目,四川省经济和信息化厅,四川,申报时间：2019.04.29 - 2019.05.15
成都市中小企业成长工程培育企业,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-企业上规模上台阶奖励,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-大企业大集团奖励,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-企业取得《医疗器械注册证书》（含医美器械）支持,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-企业获得《药品注册批件》（含医美药品）支持,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-新药和医疗器械（含医美药械）开展临床试验研究支持,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
信息安全产业-“第三方数据中心，工业云、互联网和大数据服务平台使用互联网带宽补贴”项目,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.20
信息安全产业-“金融风险补偿/融资担保补助”项目,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.20
信息安全产业-“标准及规范验证/试点”项目,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.20
生物医药产业-开展国际合作奖励,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-新药（器械）开拓市场奖励,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-采购《成都市地方名优产品推荐目录》产品奖励,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-药品进入《国家基本药物目录》和《国家基本医疗保险和工伤保险药品目录》奖励,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-仿制药质量和疗效一致性评价奖励,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
新能源汽车推广应用市级财政补贴,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-本地研发服务机构为本市企业服务支持,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-临床前及临床研究机构设立支持,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
信息安全产业-“国际直达数据专用通道建设补贴”项目,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.20
信息安全产业-“专业技术人员认证补助”项目,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.20
信息安全产业-“市级示范工程”项目,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.20
信息安全产业-“产学研用创新机构”项目,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.20
生物医药产业-医美企业提升发展质量奖励,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
生物医药产业-取得国际认证奖励,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.10
支持企业融入全球产业核心供应链补助项目,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.23
信息安全产业-“公共技术平台”项目,成都市经济和信息化局,成都,申报时间：2019.04.26 - 2019.05.20
企业上规奖励项目,成都市经济和信息化局,成都,申报时间：2019.04.25 - 2019.05.13
“壮大贷”贴息补助项目,成都市经济和信息化局,成都,申报时间：2019.04.25 - 2019.05.13
小微企业生产运营场地租金补助项目,成都市经济和信息化局,成都,申报时间：2019.04.25 - 2019.05.13
规模企业上台阶奖励项目,成都市经济和信息化局,成都,申报时间：2019.04.25 - 2019.05.13
企业技术标准制（修）订奖励项目,成都市经济和信息化局,成都,申报时间：2019.04.25 - 2019.05.13
支持担保机构担保代偿补助项目,成都市经济和信息化局,成都,申报时间：2019.04.25 - 2019.05.13
企业间协作配套资金补助项目,成都市经济和信息化局,成都,申报时间：2019.04.25 - 2019.05.23
“大面积有机微激光可控阵列技术基础”重点专项,中华人民共和国科学技术部,中华人民共和国,申报时间：2019.04.22 - 2019.05.21
“合成气一步法直接制备乙二醇研究”重点专项,中华人民共和国科学技术部,中华人民共和国,申报时间：2019.04.22 - 2019.05.21
“纳光电集成芯片及技术基础”重点专项,中华人民共和国科学技术部,中华人民共和国,申报时间：2019.04.22 - 2019.05.21
“合成生物学”重点专项,中华人民共和国科学技术部,中华人民共和国,申报时间：2019.04.22 - 2019.05.21
软件首版次市场化应用补助,成都市经济和信息化局,成都,申报时间：2019.04.18 - 2019.05.10
“首版次”软件产品认定,成都市经济和信息化局,成都,申报时间：2019.04.18 - 2019.05.10
采购补助,成都市经济和信息化局,成都,申报时间：2019.04.18 - 2019.05.10
工业资源综合利用示范基地（园区）企业创建项目,四川省经济和信息化厅,四川,申报时间：2019.04.18 - 2019.06.30
制造业单项冠军企业和单项冠军产品,中华人民共和国工业和信息化部,中华人民共和国,申报时间：2019.04.18 - 2019.06.30
